"Time","Subsystem #1|Branch Currents|MAINIA","Subsystem #1|Branch Currents|MAINIB","Subsystem #1|Branch Currents|MAINIC","Subsystem #1|Node Voltages|S1) M1","Subsystem #1|Node Voltages|S1) M2","Subsystem #1|Node Voltages|S1) M3"
0.0091663,0.03902792931,-0.1943858713,0.1422717124,10.5030899,-3.402266979,-7.110397816
0.00933296,0.04501418397,-0.1926728487,0.1360678524,10.34603882,-2.759829283,-7.596648216
0.00949962,0.05089625344,-0.1902375072,0.1292914152,10.14815331,-2.106619835,-8.052792549
0.00966628,0.05665067211,-0.1870783716,0.121958077,9.910236359,-1.445217252,-8.477045059
0.00983294,0.06225185841,-0.1831960082,0.1140873805,9.633256912,-0.7782411575,-8.86775589
0.0099996,0.06767226756,-0.1785931587,0.105703041,9.318329811,-0.1083222851,-9.22341156
0.01016626,0.07288275659,-0.1732752919,0.09683292359,8.966721535,0.5619090199,-9.542642593
0.01033292,0.07785338163,-0.1672518849,0.08750973642,8.57993412,1.229635596,-9.824133873
0.01049958,0.08255317807,-0.1605354846,0.07777029276,8.159356117,1.892528415,-10.06694126
0.01066624,0.08695042878,-0.1531416029,0.06765510887,7.706684589,2.547916889,-10.2700901
0.0108329,0.09101422131,-0.1450904161,0.05720862374,7.22371006,3.193226814,-10.43280125
0.01099956,0.09471426904,-0.1364063323,0.04647902027,6.712322235,3.825939894,-10.55444241
0.01116622,0.09802234918,-0.1271188855,0.03551763669,6.174535751,4.443565369,-10.63453674
0.01133288,0.1009126231,-0.1172624528,0.02437840588,5.612486362,5.043658733,-10.6727705
0.01149954,0.1033616513,-0.106875807,0.01311735809,5.028378963,5.623867035,-10.66899586
0.0116662,0.1053496525,-0.09600253403,0.0017919112,4.424499035,6.181910515,-10.62322044
0.01183286,0.1068605855,-0.08469050378,-0.009539806284,3.803244591,6.71560812,-10.53566074
0.01199952,0.1078822985,-0.07299128175,-0.02081969567,3.16704464,7.222867966,-10.40665054
0.01216618,0.1084070355,-0.0609597452,-0.03199046478,2.518377781,7.701717854,-10.23669624
0.01233284,0.1084317788,-0.0486538969,-0.04299633577,1.85978663,8.15027523,-10.02646446
0.0124995,0.1079578027,-0.03613383695,-0.05378336832,1.193839192,8.566774368,-9.776759148
0.01266616,0.1069908738,-0.02346120588,-0.0643003732,0.5231244564,8.949579239,-9.488529205
0.01283282,0.1055412069,-0.01069870777,-0.07449931651,-0.1497315317,9.297176361,-9.162889481
