Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0.08682986,0.1067309827,0.08494238555,0.009184313007,No
0.08699652,0.1077656671,0.07324366271,0.02047590911,No
0.08716318,0.108302258,0.06121068448,0.03165912256,No
0.08732984,0.1083374918,0.04890146106,0.04267782718,No
0.0874965,0.1078725532,0.03637618199,0.05347801745,No
0.08766316,0.1069131419,0.02369662561,0.06400833279,No
0.08782982,0.1054693758,0.01092555374,0.07422052324,No
0.08799648,0.103555344,0.001873951172,0.08406975865,No
0.08816314,0.1011897177,0.01463884674,0.09351562709,No
0.0883298,0.09839362651,0.02730759792,0.102521427,No
0.08849646,0.09519006312,0.03982083872,0.1110540628,No
0.08866312,0.09160491824,0.05212119967,0.1190850809,No
0.08882978,0.08766534925,0.0641541779,0.126589939,No
0.08899644,0.08340052515,0.07586822659,0.1335487068,No
0.0891631,0.07884002477,0.08721534163,0.1399450451,No
0.08932976,0.07401317358,0.09815140814,0.1457659006,No
0.08949642,0.06894921511,0.1086362973,0.1510017514,No
0.08966308,0.06367639452,0.1186337247,0.155645594,No
0.08982974,0.05822122097,0.1281115711,0.1596924961,No
0.0899964,0.05260866135,0.1370417178,0.1631394178,No
0.09016306,0.04686174169,0.1453996897,0.1659847498,No
0.09032972,0.04100122303,0.1531642973,0.1682274342,No
0.09049638,0.03504583612,0.1603174359,0.1698670536,No
0.09066304,0.0290123336,0.1668436974,0.170903489,No
0.0908297,0.02291557007,0.1727298349,0.1713363677,No
0.09099636,0.01676940732,0.1779652834,0.1711664796,No
0.09116302,0.01058549434,0.1825398803,0.1703926772,No
0.09132968,0.00437453948,0.1864444464,0.1690131873,No
0.09149634,0.001852729474,0.1896711439,0.1670271754,No
