Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0.09116302,0.08176383376,0.07727809995,0.1333791763,No
0.09132968,0.07711298019,0.08861200511,0.1396588981,No
0.09149634,0.07220167667,0.09952881187,0.1453628242,No
0.091663,0.06705975533,0.1099882349,0.1504819244,No
0.09182966,0.06171595305,0.1199540049,0.1550097018,No
0.09199632,0.056197308,0.1293939799,0.158941716,No
0.09216298,0.05052926019,0.1382800639,0.1622755975,No
0.09232964,0.04473527148,0.1465879083,0.1650103629,No
0.0924963,0.03883654624,0.1542965025,0.1671455503,No
0.09266296,0.0328521952,0.1613879204,0.1686813682,No
0.09282962,0.02679923736,0.1678471267,0.1696183532,No
0.09299628,0.02069274336,0.1736611873,0.1699567586,No
0.09316294,0.01454668865,0.1788198054,0.1696979553,No
0.0933296,0.008372854441,0.1833134741,0.1688414216,No
0.09349626,0.002181952121,0.1871335953,0.1673860848,No
0.09366292,0.004015500657,0.1902727485,0.1653314531,No
0.09382958,0.01020917948,0.192724213,0.1626770496,No
0.09399624,0.01638828591,0.1944815665,0.1594229043,No
0.0941629,0.02254102938,0.1955389977,0.1555700749,No
0.09432956,0.02865431458,0.1958910674,0.1511212736,No
0.09449622,0.03471342102,0.1955327392,0.1460807174,No
0.09466288,0.04070170224,0.1944595277,0.1404546946,No
0.09482954,0.04660067335,0.1926679313,0.1342523545,No
0.0949962,0.05238959938,0.1901554912,0.1274857223,No
0.09516286,0.05804566666,0.1869211197,0.120170176,No
0.09532952,0.0635438934,0.1829657108,0.1123250425,No
0.09549618,0.06885744631,0.1782923341,0.1039736345,No
0.09566284,0.07395789027,0.1729067862,0.09514346719,No
0.0958295,0.07881578058,0.1668184698,0.08586671948,No
0.09599616,0.08340075612,0.1600401402,0.07617972046,No
0.09616282,0.08768184483,0.1525875628,0.06612252444,No
0.09632948,0.09162851423,0.1444808394,0.05573913828,No
0.09649614,0.0952109918,0.1357443482,0.04507717118,No
0.0966628,0.09840153158,0.1264075935,0.03418748826,No
0.09682946,0.1011744663,0.1165048182,0.02312360331,No
0.09699612,0.1035067141,0.1060746834,0.01194106787,No
0.09716278,0.1053787544,0.09516069293,0.0006970000104,No
0.09732944,0.1067747474,0.08381066471,0.01055078954,No
0.0974961,0.1076826751,0.07207602262,0.02174448594,No
0.09766276,0.1080949903,0.06001166627,0.03282709792,No
0.09782942,0.1080088317,0.04767552763,0.04374303296,No
0.09799608,0.1074256152,0.03512765095,0.054438591,No
0.09816274,0.1063513234,0.0224298127,0.06486271322,No
0.0983294,0.1047963426,0.009644764476,0.07496753335,No
0.09849606,0.1027749553,0.003164470196,0.08470851928,No
0.09866272,0.1003060043,0.01593488082,0.09404547513,No
0.09882938,0.09741092473,0.0286048986,0.1029419452,No
0.09899604,0.09411292523,0.04111514241,0.1113651469,No
0.0991627,0.09043797851,0.05340820551,0.1192867681,No
0.09932936,0.08641347289,0.0654296428,0.1266825348,No
0.09949602,0.08206886053,0.07712789625,0.1335327923,No
0.09966268,0.07743389159,0.08845487237,0.1398213953,No
0.09982934,0.07253822684,0.09936641902,0.1455356628,No
0.099996,0.06741143018,0.109822385,0.1506663859,No
0.10016266,0.06208207458,0.1197864711,0.1552069038,No
0.10032932,0.05657699332,0.1292265803,0.1591526419,No
0.10049598,0.05092142522,0.1381146908,0.1625010818,No
0.10066264,0.04513873905,0.1464264244,0.1652510613,No
0.1008293,0.03924999014,0.154140681,0.1674019545,No
0.10099596,0.03327417374,0.1612396091,0.1689538658,No
0.10116262,0.02722817846,0.1677080691,0.1699071825,No
