Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0.30815434,0.5340684056,0.03341365606,0.3343298137,Yes
0.308321,0.5639734268,0.03288821504,0.327720046,Yes
0.30848766,0.5921932459,0.03216600418,0.3204648793,Yes
0.30865432,0.6185362339,0.03113773279,0.3126262128,Yes
0.30882098,0.6428074241,0.0296948906,0.3042382002,Yes
0.30898764,0.6648010015,0.02775013819,0.2953166962,Yes
0.3091543,0.6843004823,0.02524093911,0.2858605385,Yes
0.30932096,0.7010964751,0.02211940102,0.2758431137,Yes
0.30948762,0.7150007486,0.01834968664,0.2652123272,Yes
0.30965428,0.7258399725,0.01391961891,0.2539030015,Yes
0.30982094,0.7334510088,0.00885159988,0.2418461591,Yes
0.3099876,0.7376952767,0.003194576595,0.2289681137,Yes
0.31015426,0.7384754419,0.002988550812,0.215188846,Yes
0.31032092,0.7357321382,0.009618898854,0.2004303932,Yes
0.31048758,0.7294343114,0.01658968441,0.1846289486,Yes
0.31065424,0.7195840478,0.02376904152,0.1677387804,Yes
0.3108209,0.7062280774,0.03101943433,0.1497279257,Yes
0.31098756,0.6894581318,0.03820680082,0.1305800229,Yes
0.31115422,0.6693996191,0.04519145936,0.1103062704,Yes
0.31132088,0.6462028027,0.05182622746,0.08895076066,Yes
0.31148754,0.6200483441,0.05797293037,0.06658489257,Yes
0.3116542,0.5911512375,0.06351654232,0.0433024466,Yes
0.31182086,0.5597503781,0.06835992634,0.01922419108,Yes
0.31198752,0.5260915756,0.07241503894,0.005498532671,Yes
0.31215418,0.4904267192,0.07560947537,0.03068892285,Yes
0.31232084,0.453020215,0.07790076733,0.05615520477,Yes
0.3124875,0.4141423106,0.07927729934,0.0816950798,Yes
0.31265416,0.3740523756,0.0797458142,0.1070926413,Yes
0.31282082,0.3329925537,0.07932817936,0.1321212649,Yes
0.31298748,0.2911939323,0.07807202637,0.1565558463,Yes
0.31315414,0.2488782555,0.07605563849,0.1801818013,Yes
0.3133208,0.2062471211,0.07337544113,0.2027940005,Yes
0.31348746,0.1634729654,0.07013330609,0.2241958231,Yes
0.31365412,0.1207039729,0.06643918902,0.244208619,Yes
0.31382078,0.07807350904,0.06241841987,0.2626813948,Yes
0.31398744,0.03569805995,0.05820358917,0.2794910669,Yes
0.3141541,0.006331486162,0.05391829833,0.2945382595,Yes
0.31432076,0.04794745892,0.04967372119,0.3077481091,Yes
0.31448742,0.08909262717,0.04557707906,0.3190779388,Yes
0.31465408,0.1297140718,0.04173097387,0.3285191357,Yes
0.31482074,0.1697684675,0.03821928799,0.3360898495,Yes
0.3149874,0.2092236876,0.03509956971,0.3418288231,Yes
0.31515406,0.2480480671,0.03240947798,0.3457986414,Yes
0.31532072,0.2861983776,0.03017272055,0.3480890393,Yes
0.31548738,0.3236213326,0.02839325182,0.3488081396,Yes
0.31565404,0.3602593839,0.02704468369,0.3480734527,Yes
0.3158207,0.3960454464,0.02607468516,0.3460088372,Yes
0.31598736,0.430891186,0.02541825362,0.3427456617,Yes
0.31615402,0.4646845758,0.02500012517,0.3384177685,Yes
0.31632068,0.4972985983,0.0247276891,0.3331501186,Yes
0.31648734,0.5285941958,0.02449171245,0.3270529509,Yes
0.316654,0.5584132671,0.02417947724,0.3202234209,Yes
0.31682066,0.5865739584,0.02368443646,0.3127465248,Yes
0.31698732,0.6128805876,0.02290350385,0.3046866357,Yes
0.31715398,0.6371340752,0.02173331752,0.2960824966,Yes
0.31732064,0.6591320038,0.02007904276,0.2869494855,Yes
0.3174873,0.6786643863,0.01786741056,0.2772855461,Yes
0.31765396,0.6955213547,0.01504905242,0.267069608,Yes
0.31782062,0.7095075846,0.0115921339,0.2562581599,Yes
0.31798728,0.720448792,0.007482346147,0.2447891235,Yes
0.31815394,0.7281880379,0.002733964706,0.232591033,Yes
0.3183206,0.732588172,0.00260717026,0.21958974,Yes
0.31848726,0.733543694,0.008472652175,0.2057088166,Yes
0.31865392,0.730989635,0.01477966923,0.1908715665,Yes
0.31882058,0.7248982191,0.02142765187,0.1750104278,Yes
0.31898724,0.7152733207,0.02829409949,0.1580759287,Yes
0.3191539,0.7021557093,0.03524201363,0.1400380433,Yes
0.31932056,0.6856296659,0.04213342071,0.1208846048,Yes
